depolarizing_raw,depolarizing_used,phase_damping,amplitude_damping,decoherence_level_raw,decoherence_level_norm,decision_score,channel_loss,entropy_norm,capacity_proxy,classical_baseline_risk,QCCI,early_warning_margin,state
0.9999999999999999,0.9999999999999999,0.0,0.6,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.3,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.3,0.6,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.6,0.0,1.5,1.0,0.0,0.75,0.9999999999999999,0.049787068367863965,0.6499999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.6,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.7249999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.6,0.6,1.5,1.0,0.0,0.7500000000000001,0.9999999999999998,0.049787068367863986,0.7999999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.9,0.0,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.725,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.9,0.3,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.7999999999999999,1.0,-0.19999999999999996,failure
0.9999999999999999,0.9999999999999999,0.9,0.6,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.875,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.0,0.6,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.3,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.3,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.6,0.0,1.5,1.0,0.0,0.7500000000000001,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.6,0.3,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.6,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999997,0.049787068367863986,0.8,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.9,0.0,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.725,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.9,0.3,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.7999999999999999,1.0,-0.19999999999999996,failure
1.0499999999999998,1.0,0.9,0.6,1.5,1.0,0.0,0.75,0.9999999999999999,0.049787068367863965,0.875,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.0,0.6,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.3,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.3,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.6,0.0,1.5,1.0,0.0,0.7500000000000001,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.6,0.3,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.6,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999997,0.049787068367863986,0.8,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.9,0.0,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.725,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.9,0.3,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.7999999999999999,1.0,-0.19999999999999996,failure
1.0999999999999999,1.0,0.9,0.6,1.5,1.0,0.0,0.75,0.9999999999999999,0.049787068367863965,0.875,1.0,-0.19999999999999996,failure
1.15,1.0,0.0,0.6,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.15,1.0,0.3,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
1.15,1.0,0.3,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.15,1.0,0.6,0.0,1.5,1.0,0.0,0.7500000000000001,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.15,1.0,0.6,0.3,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.15,1.0,0.6,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999997,0.049787068367863986,0.8,1.0,-0.19999999999999996,failure
1.15,1.0,0.9,0.0,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.725,1.0,-0.19999999999999996,failure
1.15,1.0,0.9,0.3,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.7999999999999999,1.0,-0.19999999999999996,failure
1.15,1.0,0.9,0.6,1.5,1.0,0.0,0.75,0.9999999999999999,0.049787068367863965,0.875,1.0,-0.19999999999999996,failure
1.2,1.0,0.0,0.3,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.575,1.0,-0.19999999999999996,failure
1.2,1.0,0.0,0.6,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.2,1.0,0.3,0.0,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.575,1.0,-0.19999999999999996,failure
1.2,1.0,0.3,0.3,1.5,1.0,0.0,0.75,1.0,0.049787068367863944,0.6499999999999999,1.0,-0.19999999999999996,failure
1.2,1.0,0.3,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.2,1.0,0.6,0.0,1.5,1.0,0.0,0.7500000000000001,0.9999999999999998,0.049787068367863986,0.65,1.0,-0.19999999999999996,failure
1.2,1.0,0.6,0.3,1.5,1.0,0.0,0.75,0.9999999999999998,0.049787068367863986,0.725,1.0,-0.19999999999999996,failure
1.2,1.0,0.6,0.6,1.5,1.0,0.0,0.7500000000000002,0.9999999999999997,0.049787068367863986,0.8,1.0,-0.19999999999999996,failure
1.2,1.0,0.9,0.0,1.5,1.0,0.0,0.7499999999999999,1.0,0.049787068367863944,0.725,1.0,-0.19999999999999996,failure
