state,count,avg_qcci,avg_entropy,avg_capacity,avg_loss
failure,178,0.9403226098717313,0.9624235189962667,0.05658114364857958,0.6854335674808144
risky,73,0.6894216450178589,0.7467848633545774,0.11639234391460511,0.47108431768322057
stable,49,0.3837954811742892,0.4651778429355428,0.28499876706750393,0.253698615102221
